sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,41_8.txt,8,41,0.050422,0.016042,dz,83.254208,6.416756,66.974182,0.002125,0.290113,35.0086,untreated,control,unloaded,AC
599112,41_9.txt,9,41,0.049632,0.017025,dz,83.350379,6.427706,66.968453,0.002102,0.286817,34.295461,untreated,control,unloaded,AC
599112,42_0.txt,0,42,0.050434,0.016546,dz,82.514691,6.647162,66.96661,0.002038,0.270527,35.442005,untreated,control,unloaded,AC
599112,42_1.txt,1,42,0.049537,0.017588,dz,81.722565,6.577613,66.987439,0.002089,0.271839,34.57536,untreated,control,unloaded,AC
599112,42_10.txt,10,42,0.051356,0.018689,dz,84.018524,6.602003,66.999871,0.00211,0.271555,34.135153,untreated,control,unloaded,AC
599112,42_11.txt,11,42,0.050783,0.019221,dz,83.780791,6.598737,66.965499,0.002131,0.270527,35.694308,untreated,control,unloaded,AC
599112,42_12.txt,12,42,0.051347,0.019414,dz,83.277977,6.610317,66.984982,0.002097,0.256407,35.086732,untreated,control,unloaded,AC
599112,42_2.txt,2,42,0.048409,0.018282,dz,81.649906,6.686891,66.944887,0.002179,0.272893,35.525466,untreated,control,unloaded,AC
599112,42_3.txt,3,42,0.051315,0.018776,dz,82.339587,6.656999,66.989019,0.002124,0.278148,35.176138,untreated,control,unloaded,AC
599112,42_4.txt,4,42,0.052804,0.018261,dz,82.40973,6.592153,66.964761,0.002035,0.270527,35.075034,untreated,control,unloaded,AC
599112,42_5.txt,5,42,0.050736,0.017881,dz,82.817056,6.725842,66.947407,0.002044,0.273152,35.909523,untreated,control,unloaded,AC
